                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98792,                 3.3124,                 1.4036,                0.01211,                0.99011,                0.37518,                0.24831,                0.96761,                 2.8341,                 1.4368,              0.0002727,              0.0002727,              0.0002727
                      2,                 1.0049,                 2.2484,                 1.4181,                0.58974,                0.51561,                0.56169,                0.34997,                 1.2023,                 2.0663,                 1.6854,             0.00054351,             0.00054351,             0.00054351
                      3,                  1.055,                 1.8596,                 1.4333,                0.44721,                0.70239,                 0.6392,                0.38512,                 1.2248,                 1.6572,                 1.7113,             0.00080316,             0.00080316,             0.00080316
                      4,                 1.0253,                 1.6986,                 1.3982,                 0.4707,                0.61737,                0.54339,                 0.3556,                 1.2007,                 1.7646,                 1.7092,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.0043,                 1.5333,                  1.364,                 0.6464,                 0.5121,                0.60697,                 0.3686,                 1.3018,                 2.0022,                 1.7943,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.0199,                 1.4578,                 1.3719,                0.58888,                0.63312,                0.64553,                0.43035,                 1.1187,                 1.7656,                 1.5895,             0.00081901,             0.00081901,             0.00081901
                      7,                0.95778,                 1.3998,                 1.3394,                 0.8046,                0.63608,                0.74816,                0.50914,                 1.1286,                 1.4443,                 1.5795,             0.00080101,             0.00080101,             0.00080101
                      8,                0.99324,                 1.3636,                 1.3389,                0.71777,                0.76275,                0.76723,                 0.5344,                 1.0966,                 1.1522,                 1.5258,             0.00078301,             0.00078301,             0.00078301
                      9,                0.96033,                 1.2762,                 1.3115,                0.88852,                0.62425,                0.76494,                0.53404,                 1.0872,                 1.2454,                 1.5115,             0.00076501,             0.00076501,             0.00076501
                     10,                0.95128,                 1.2373,                 1.3054,                0.73452,                0.68897,                0.73934,                0.51993,                 1.0704,                 1.1981,                 1.5446,             0.00074702,             0.00074702,             0.00074702
                     11,                0.90917,                 1.1771,                 1.2799,                0.76635,                0.68825,                0.79502,                0.53352,                 1.1229,                 1.1492,                 1.5859,             0.00072902,             0.00072902,             0.00072902
                     12,                0.90485,                 1.1368,                 1.2886,                0.78263,                0.70971,                0.81343,                0.56199,                 1.0939,                 1.0776,                 1.5162,             0.00071102,             0.00071102,             0.00071102
                     13,                0.86515,                 1.0375,                 1.2334,                0.83986,                0.82762,                0.85128,                 0.5896,                 1.0533,                0.95415,                 1.4831,             0.00069302,             0.00069302,             0.00069302
                     14,                0.87028,                 1.0115,                 1.2342,                0.77211,                0.74172,                 0.8045,                0.56571,                 1.0637,                 1.1026,                 1.5244,             0.00067502,             0.00067502,             0.00067502
                     15,                0.85486,                 1.0161,                 1.2315,                 0.8023,                 0.7187,                0.81427,                0.59606,                 1.0212,                 1.0953,                 1.4412,             0.00065703,             0.00065703,             0.00065703
                     16,                0.85603,                0.96709,                 1.2332,                0.76127,                0.73286,                0.78491,                0.56354,                 1.0655,                 1.1403,                 1.4704,             0.00063903,             0.00063903,             0.00063903
                     17,                0.85639,                0.95909,                 1.2312,                0.84564,                 0.7523,                0.81734,                0.58147,                 1.0696,                0.98327,                 1.5078,             0.00062103,             0.00062103,             0.00062103
                     18,                0.82698,                0.90536,                  1.213,                0.85844,                0.79029,                0.85897,                0.60227,                 1.1018,                0.88425,                 1.5099,             0.00060303,             0.00060303,             0.00060303
                     19,                0.83359,                0.92303,                  1.223,                0.84329,                0.77011,                0.86149,                0.61179,                 1.0606,                0.90123,                 1.4784,             0.00058503,             0.00058503,             0.00058503
                     20,                0.82298,                0.85063,                 1.2073,                0.82869,                0.73008,                0.84075,                0.57706,                 1.0543,                0.93419,                 1.4832,             0.00056703,             0.00056703,             0.00056703
                     21,                0.78511,                0.84304,                  1.193,                0.85043,                0.77804,                 0.8537,                 0.6099,                 1.0534,                0.91554,                 1.4466,             0.00054904,             0.00054904,             0.00054904
                     22,                0.77796,                0.80371,                 1.1751,                0.80133,                0.85767,                0.88679,                0.62055,                 1.0558,                0.77887,                 1.4353,             0.00053104,             0.00053104,             0.00053104
